strategy,vix_threshold,buy_ratios,buy_target_ratio,avg_return_pct,median_return_pct,min_return_pct,max_return_pct,avg_cagr_pct,median_cagr_pct,min_cagr_pct,max_cagr_pct,avg_max_drawdown_pct,worst_drawdown_pct,avg_unused_cash,avg_buy_count,window_count,initial_ratio
VIX,30.0,"(0.3, 0.3, 0.5, 0.5, 0.7)","(0.5, 0.5)",324.8407338792746,212.7204346093783,-64.14144203787542,1166.05795022454,11.754355959560858,12.076775110954108,-9.747491410974263,28.897756519753326,51.07381683044498,85.18124159856364,0.0,6.0,209,0.4
VIX,35.0,"(0.7, 0.5, 0.3, 0.3, 0.3)","(0.5, 0.5)",278.2059581461928,212.19114315215742,-42.86908928038492,1103.4252390457016,11.737726530990738,12.057791218907177,-5.444430494561924,28.245433984536273,42.24841997510642,68.01192571281864,0.0,15.0,209,0.0
VIX,30.0,"(0.5, 0.5, 0.5, 0.5, 0.5)","(0.5, 0.5)",328.29347090779635,207.9516771814567,-65.30433237357217,1173.6053287918112,11.735037001993627,11.904681983995214,-10.044540797436397,28.97439126143775,51.49407576486611,85.17369175628903,0.0,6.0,209,0.4
VIX,30.0,"(0.5, 0.5, 0.3, 0.3, 0.3)","(0.5, 0.5)",324.5146614949395,206.26870485014516,-64.0047516487644,1131.7591892620917,11.73162269275607,11.8433745555371,-9.713146640151049,28.544228215302937,51.276678794044386,85.17837389459085,0.0,9.0,209,0.4
VIX,35.0,"(0.5, 0.5, 0.5, 0.5, 0.5)","(0.3, 0.7)",301.72513846349193,257.23211007414545,-50.833229307993236,1200.120105307047,11.721354800095465,13.578217582450346,-6.853365390057653,29.240416052786955,48.82305264111337,73.28486137491446,0.0,8.0,209,0.2
VIX,30.0,"(0.3, 0.3, 0.3, 0.3, 0.3)","(0.5, 0.5)",319.4042424304346,210.61091700355675,-62.92464621810127,1136.761776732831,11.721332047657015,12.000941018440848,-9.445814130735663,28.596339173311925,50.85044279766446,85.18209185912026,0.0,10.0,209,0.4
VIX,35.0,"(0.3, 0.3, 0.5, 0.5, 0.7)","(0.5, 0.5)",283.56963346412925,256.9539985704187,-44.60078068910539,1128.1896942946123,11.719028193787421,13.569372218452935,-5.735023310787113,28.506928926058904,46.22905738354758,68.38559885781636,0.0,8.0,209,0.2
VIX,35.0,"(0.7, 0.7, 0.5, 0.5, 0.3)","(0.5, 0.5)",279.0616122483404,209.20329159064704,-43.908230533905076,1110.1450023402942,11.717903391105667,11.9500806668152,-5.617839609132169,28.316865190528738,42.95223375437959,67.98189275329584,0.0,13.0,209,0.0
VIX,30.0,"(0.7, 0.7, 0.7, 0.7, 0.7)","(0.5, 0.5)",335.8154923832881,204.4128063171746,-67.5570272442888,1202.7393008090212,11.716245945793615,11.775415227930308,-10.646398037041994,29.266428990344217,52.24410777048063,85.1729856830207,0.0,5.0,209,0.4
VIX,30.0,"(0.7, 0.5, 0.3, 0.3, 0.3)","(0.5, 0.5)",326.1603891439674,203.70682448380322,-64.46363643498789,1141.0764916768208,11.7147466533468,11.74946563390522,-9.828914375813424,28.641132551804848,51.519656603852695,85.17644245785384,0.0,8.0,209,0.4
VIX,35.0,"(0.5, 0.5, 0.3, 0.3, 0.3)","(0.5, 0.5)",276.5505783858136,215.10715116466906,-42.32703466089015,1100.8401985189976,11.711841744087632,12.162020966898158,-5.355097496511963,28.217859314562332,41.854540269654365,68.02253451482395,0.0,16.0,209,0.0
VIX,30.0,"(0.7, 0.7, 0.5, 0.5, 0.3)","(0.5, 0.5)",331.7462079363182,203.18291975353503,-66.46722270926894,1181.1527073590823,11.709892040892681,11.730173485708884,-10.35068976037542,29.050618364305137,51.976094184025825,85.16616560069843,0.0,6.0,209,0.4
VIX,30.0,"(0.7, 0.5, 0.5, 0.3, 0.3)","(0.5, 0.5)",328.0038133839509,204.3229067261354,-65.21919247848167,1155.186192916113,11.709521143893257,11.77211382287824,-10.02249091421673,28.78664076656041,51.672233760225815,85.17319639106357,0.0,8.0,209,0.4
VIX,35.0,"(0.7, 0.5, 0.5, 0.3, 0.3)","(0.5, 0.5)",276.9880248203508,209.2719833408866,-43.231463124246616,1104.5812208846417,11.687633635182259,11.952567470325338,-5.50457772517523,28.25774761604203,42.507305595495716,68.00459018494738,0.0,14.0,209,0.0
VIX,35.0,"(0.3, 0.3, 0.3, 0.3, 0.3)","(0.5, 0.5)",273.491284193458,222.48665943033666,-41.166934449060456,1098.733008629284,11.661562284632454,12.421965876794538,-5.166419520598664,28.19534233354293,41.113954702476406,68.05460842777616,0.0,17.0,209,0.0
VIX,35.0,"(0.3, 0.5, 0.5, 0.7, 0.7)","(0.3, 0.7)",297.8052710718791,255.69237843856197,-50.75117767392576,1206.7831843272202,11.640381866107118,13.52916821319996,-6.837832338124194,29.306499142524768,48.873775018039225,73.27878008458582,0.0,7.0,209,0.2
VIX,35.0,"(0.3, 0.5, 0.7, 0.7, 0.7)","(0.3, 0.7)",298.20532720836417,254.08618019232492,-50.81049045852779,1205.4243924198072,11.638947533833212,13.47779742975721,-6.849058402638219,29.29304756976936,48.989950150124706,73.27451522740411,0.0,7.0,209,0.2
VIX,30.0,"(0.3, 0.5, 0.5, 0.7, 0.7)","(0.3, 0.7)",346.003515064442,205.02840106731844,-66.76188730085293,1402.6402050324837,11.61584375889482,11.797998319510562,-10.429781096088508,31.124999780779184,53.67975041076074,86.67929663368878,0.0,6.0,209,0.4
VIX,30.0,"(0.3, 0.5, 0.7, 0.7, 0.7)","(0.3, 0.7)",348.5496395708537,205.2909175155737,-67.37787512474945,1418.2492634162113,11.61418891301784,11.807616261061193,-10.597178603869306,31.26057666663147,53.85951152548402,86.67755080764155,0.0,6.0,209,0.4
